record_id,title,release_date,director,studio,country,subgenre,runtime,mpaa_rating,budget_usd,box_office_usd,user_score,vote_count
2659,Cannibal Holocaust,6/28/1980,Ruggero Deodato,United Artists Europa,italy,Gothic,126min,NC-17,"$120,000","270,483",,194633
3904,The Host,2006/07/09,Bong Joon-ho,Showbox,S. Korea,Slasher,,NC-17,3000000,"$33,187,930",9.0,36826
5113,When Evil Lurks,01/19/2023,Demian Rugna,Shudder,Argentina,Body Horror,146,PG-13,,9856995,8.7,226808
4203,The Cabin in the Woods,08/25/2011,Drew Goddard,Lionsgate,USA,Body Horror,107 min,Not Rated,"$35,000,000",,7.4,306292
2957,A Nightmare on Elm Street,1984-09-04,Wes Craven,new line cinema,us,Werewolf,117,Not Rated,"$1,500,000","$10,311,433",5.9,163895
1127,Freaks,1932-09-18,Tod Browning,MGM,us,Cosmic Horror,72,Unrated,USD 6000000,5451081,4.6,469655
5093,Infinity Pool,2023/05/06,Brandon Cronenberg,Neon,Canada,Cosmic Horror,1h 58m,PG-13,"$35,000,000",98151327,6.4,468178
5346,TETSUO THE IRON MAN,11/20/1989,Shinya Tsukamoto,Kaijyu Theater,Japan,Vampire,2h 45m,PG-13,"$20,000,000","255,667,125",6.4,245473
2024,Rosemary's Baby,05/15/1968,Roman Polanski,Paramount Pictures,USA ,Giallo,137min,PG,"20,000,000",$7001250,6.7,433633
4151,Trick 'r Treat,09/25/2007,Michael Dougherty,WARNER BROS.,us,Slasher,,R,20000000,"$87,142,789",5.1,378438
5121,When Evil Lurks,2023/12/06,Demian Rugna,Shudder,Argentina,Body Horror,146,,750000,9856995,8.7,4297
2233,Deep Red,07/21/1975,Dario Argento,Rizzoli Film,italy,Supernatural,1h 52m,Not Rated,"$10,000,000",14234893,8.9,343767
3991,The Orphanage,20-06-2007,J.A. Bayona,Warner Bros. Pictures,Spain,Creature Feature|Haunted House,145,R,"$20,000,000",$220449652,5.4,386307
1285,cat people,07/03/1942,Jacques Tourneur,RKO Radio Pictures,United States,Werewolf|Creature Feature,,Not Rated,"300,000",927054,6.8,254166
5001,Pearl,04/12/2022,Ti West,A24,us,Cosmic Horror,144,G,"$3,000,000","36,671,785",7.5,442245
1292,Cat People,1942-08-18,Jacques Tourneur,RKO Radio Pictures,United States,Werewolf|Creature Feature,74min,Not Rated,,$927054,6.8,467531
5090,Infinity Pool,11/24/2023,,neon,CANADA,Cosmic Horror,118 min,PG-13,35000000,USD 98151327,6.4,425743
5295,The Wailing,19-09-2016,,20th Century Fox Korea,Korea,Found Footage,150min,Not Rated,750000,"$6,632,236",7.6,421545
4860,Saint Maud,7/28/2019,Rose Glass,a24,U.K.,Folk Horror|Supernatural,101 min,NC-17,"$3,000,000",9179482,8.4,466026
3922,  The Host ,6/8/2006,Bong Joon-ho,Showbox,South Korea,Slasher,83min,NC-17,"$3,000,000",,9.0,185430
3713,High Tension,2003/10/09,Alexandre Aja,EuropaCorp,France,Zombie|Kaiju,161 min,,1500000,"12,580,491",4.6,87402
1769,Carnival of Souls,20-05-1962,Herk Harvey,Herts-Lion International,USA ,Body Horror,1h 40m,PG,$20000000,"22,553,699",8.7,203269
3930,the host,2006-10-27,Bong Joon-ho,Showbox,South Korea,Slasher,83,NC-17,3000000,"$33,187,930",9.0,470098
3685,A Tale of Two Sisters,2003-05-23,Kim Jee-woon,Cineclick Asia,Korea,Folk Horror,97 min,PG,"$3,000,000","$26,985,529",9.2,122428
2327,Suspiria,2/12/1977,Dario Argento,Seda Spettacoli,Italy,Occult,2h 25m,Unrated,USD 35000000,USD 113427337,8.9,295941
4093,Martyrs,2008/08/10,Pascal Laugier,Wild Bunch,France,Psychological,116,G,"20,000,000",$87265784,5.1,7682
5152,Late Night with the Devil,8/8/2023,Colin Cairnes,IFC Films,Australia,Psychological,70,NC-17,$6000000,"$44,680,381",,365022
1244,The Wolf Man,1941-05-04,George Waggner,universal,us,Psychological,126,Not Rated,35000000,"341,406,775",5.4,446631
5196,LONGLEGS,2024/06/11,Osgood Perkins,neon,USA ,Gothic,160,NC-17,$10000000,54792293,6.0,112845
